# root file_name                                               ; Theory_XS fb;  Event_Number
#/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/madgraph/V5_2.4.2/Triboson/Triboson_M1500_R0.5_slc6_amd64_gcc481_CMSSW_7_1_30_tarball.tar.xz//gridpack_generation.log
Mherwig3500_R0-6.root  ; .8644000  ; 50000
Mherwig3500_R0-7.root  ; .5713000  ; 50000
Mherwig3500_R0-9.root  ; .04310  ; 50000
Mherwig4000_R0-06.root  ; .4514000  ; 50000
Mherwig4000_R0-08.root  ; .4596000  ; 50000
Mherwig4000_R0-1.root  ; .4608000  ; 50000
Mherwig4000_R0-2.root  ; .4517000  ; 50000
Mherwig4000_R0-3.root  ; .6173000  ; 50000
Mherwig4000_R0-4.root  ; .4011000  ; 50000
Mherwig4000_R0-5.root  ; .3533000  ; 50000
Mherwig4000_R0-6.root  ; .2824000  ; 50000
Mherwig4000_R0-7.root  ; .1865000  ; 50000
Mherwig4000_R0-9.root  ; .01401  ; 50000
Mherwig4500_R0-06.root  ; .1549000  ; 50000
Mherwig4500_R0-08.root  ; .1565000  ; 50000
Mherwig4500_R0-1.root  ; .1565000  ; 50000
Mherwig4500_R0-2.root  ; .1527000  ; 50000
Mherwig4500_R0-3.root  ; .1456000  ; 50000
Mherwig4500_R0-4.root  ; .1351000  ; 50000
Mherwig4500_R0-5.root  ; .1186000  ; 50000
Mherwig4500_R0-6.root  ; .09498  ; 50000
Mherwig4500_R0-7.root  ; .05268  ; 50000
Mherwig4500_R0-9.root  ; .004698  ; 50000
Mherwig5000_R0-06.root  ; .05694  ; 50000
Mherwig5000_R0-08.root  ; .05725  ; 50000
Mherwig5000_R0-1.root  ; .05703  ; 50000
Mherwig5000_R0-2.root  ; .05380  ; 50000
Mherwig5000_R0-3.root  ; .05259  ; 50000
Mherwig5000_R0-4.root  ; .04857  ; 50000
Mherwig5000_R0-5.root  ; .04266  ; 50000
Mherwig5000_R0-6.root  ; .03412  ; 50000
Mherwig5000_R0-7.root  ; .02252  ; 50000
Mherwig5000_R0-9.root  ; .001686  ; 50000
