# root file_name                                               ; Theory_XS fb;  Event_Number
Mherwig3000_R0-3.root  ; 4.096000  ; 50000
Mherwig3000_R0-4.root  ; 3.806000  ; 50000
Mherwig3000_R0-5.root  ; 3.369000  ; 50000
Mherwig3000_R0-6.root  ; 2.695000  ; 50000
Mherwig3000_R0-7.root  ; 1.783000  ; 50000
Mherwig3000_R0-9.root  ; .1346000  ; 50000
Mherwig3500_R0-06.root  ; 1.341000  ; 50000
Mherwig3500_R0-08.root  ; 1.387000  ; 50000
Mherwig3500_R0-1.root  ; 1.397000  ; 50000
Mherwig3500_R0-2.root  ; 1.375000  ; 50000
Mherwig3500_R0-3.root  ; 1.316000  ; 50000
Mherwig3500_R0-4.root  ; 1.222000  ; 50000
Mherwig3500_R0-5.root  ; 1.081000  ; 50000
Mherwig3500_R0-6.root  ; .8644000  ; 50000
Mherwig3500_R0-7.root  ; .5713000  ; 50000
Mherwig3500_R0-9.root  ; .04310  ; 50000
Mherwig4000_R0-06.root  ; .4514000  ; 50000
Mherwig4000_R0-08.root  ; .4596000  ; 50000
Mherwig4000_R0-1.root  ; .4608000  ; 50000
Mherwig4000_R0-2.root  ; .4517000  ; 50000
Mherwig4000_R0-3.root  ; .6173000  ; 50000
Mherwig4000_R0-4.root  ; .4011000  ; 50000
Mherwig4000_R0-5.root  ; .3533000  ; 50000
Mherwig4000_R0-6.root  ; .2824000  ; 50000
Mherwig4000_R0-7.root  ; .1865000  ; 50000
Mherwig4000_R0-9.root  ; .01401  ; 50000
Mherwig4500_R0-06.root  ; .1549000  ; 50000
Mherwig4500_R0-08.root  ; .1565000  ; 50000
Mherwig4500_R0-1.root  ; .1565000  ; 50000
Mherwig4500_R0-2.root  ; .1527000  ; 50000
Mherwig4500_R0-3.root  ; .1456000  ; 50000
Mherwig4500_R0-4.root  ; .1351000  ; 50000
Mherwig4500_R0-5.root  ; .1186000  ; 50000
Mherwig4500_R0-6.root  ; .09498  ; 50000
Mherwig4500_R0-7.root  ; .05268  ; 50000
Mherwig4500_R0-9.root  ; .004698  ; 50000
Mherwig5000_R0-06.root  ; .05694  ; 50000
Mherwig5000_R0-08.root  ; .05725  ; 50000
Mherwig5000_R0-1.root  ; .05703  ; 50000
Mherwig5000_R0-2.root  ; .05380  ; 50000
Mherwig5000_R0-3.root  ; .05259  ; 50000
Mherwig5000_R0-4.root  ; .04857  ; 50000
Mherwig5000_R0-5.root  ; .04266  ; 50000
Mherwig5000_R0-6.root  ; .03412  ; 50000
Mherwig5000_R0-7.root  ; .02252  ; 50000
Mherwig5000_R0-9.root  ; .001686  ; 50000
ttWJets_13TeV_madgraphMLM.root  ;  204.3  ;  6972048
